angle;cx;cy;cn
0;-0.5146;-0.0048;-0.0031
10;-0.5388;0.1959;0.0755
20;-0.4889;0.4439;0.1546
30;-0.418;0.6794;0.2084
40;-0.4859;0.7461;0.1872
50;-0.5271;0.8238;0.168
60;-0.4761;0.9068;0.1497
70;-0.4693;0.9399;0.119
80;-0.3891;0.9833;0.0897
90;-0.2049;0.9778;0.0589
100;-0.0499;0.9688;0.0267
110;0.1835;0.9569;-0.0003
120;0.4399;0.8962;-0.0232
130;0.6245;0.7946;-0.0389
140;0.8035;0.6512;-0.05
150;0.8994;0.4971;-0.0488
160;0.9424;0.3645;-0.0283
170;0.8628;0.1621;-0.0122
180;0.7205;-0.0087;0.0064
190;0.802;-0.185;0.0168
200;0.8351;-0.3689;0.0351
210;0.7704;-0.5275;0.057
220;0.6446;-0.6789;0.0587
230;0.4031;-0.8082;0.0508
240;0.1869;-0.8908;0.0376
250;-0.0734;-0.9544;0.0203
260;-0.2545;-0.9757;-0.0052
270;-0.3952;-0.9911;-0.0338
280;-0.51;-1.0193;-0.0644
290;-0.3936;-1.0013;-0.1114
300;-0.4996;-0.9428;-0.1347
310;-0.5967;-0.8614;-0.1535
320;-0.6004;-0.7545;-0.1674
330;-0.5143;-0.6922;-0.1954
340;-0.5297;-0.4648;-0.1567
350;-0.5548;-0.2073;-0.0804
360;-0.516;-0.019;-0.0043
